target,docking_id,best_vina_score_kcal_mol,pose_path,log_path
MAPK1,MAPK1_r14_cid4239728,-9.975,scripts/docking_top30/results/poses/MAPK1_r14_cid4239728_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r14_cid4239728.log
MAPK1,MAPK1_r19_cid4239594,-9.929,scripts/docking_top30/results/poses/MAPK1_r19_cid4239594_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r19_cid4239594.log
MAPK1,MAPK1_r12_cid4240389,-9.268,scripts/docking_top30/results/poses/MAPK1_r12_cid4240389_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r12_cid4240389.log
MAPK1,MAPK1_r20_cid4240028,-9.093,scripts/docking_top30/results/poses/MAPK1_r20_cid4240028_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r20_cid4240028.log
MAPK1,MAPK1_r02_cid4247709,-9.068,scripts/docking_top30/results/poses/MAPK1_r02_cid4247709_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r02_cid4247709.log
MAPK1,MAPK1_r18_cid4237693,-9.061,scripts/docking_top30/results/poses/MAPK1_r18_cid4237693_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r18_cid4237693.log
MAPK1,MAPK1_r17_cid4238183,-9.025,scripts/docking_top30/results/poses/MAPK1_r17_cid4238183_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r17_cid4238183.log
MAPK1,MAPK1_r15_cid4240338,-8.915,scripts/docking_top30/results/poses/MAPK1_r15_cid4240338_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r15_cid4240338.log
MAPK1,MAPK1_r01_cid861731,-8.909,scripts/docking_top30/results/poses/MAPK1_r01_cid861731_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r01_cid861731.log
MAPK1,MAPK1_r05_cid4238114,-8.839,scripts/docking_top30/results/poses/MAPK1_r05_cid4238114_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r05_cid4238114.log
MAPK1,MAPK1_r06_cid4239535,-8.526,scripts/docking_top30/results/poses/MAPK1_r06_cid4239535_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r06_cid4239535.log
MAPK1,MAPK1_r13_cid861370,-8.464,scripts/docking_top30/results/poses/MAPK1_r13_cid861370_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r13_cid861370.log
MAPK1,MAPK1_r21_cid842718,-8.295,scripts/docking_top30/results/poses/MAPK1_r21_cid842718_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r21_cid842718.log
MAPK1,MAPK1_r26_cid850001,-8.202,scripts/docking_top30/results/poses/MAPK1_r26_cid850001_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r26_cid850001.log
MAPK1,MAPK1_r22_cid4238690,-8.182,scripts/docking_top30/results/poses/MAPK1_r22_cid4238690_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r22_cid4238690.log
MAPK1,MAPK1_r25_cid7977623,-8.056,scripts/docking_top30/results/poses/MAPK1_r25_cid7977623_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r25_cid7977623.log
MAPK1,MAPK1_r11_cid4240159,-7.826,scripts/docking_top30/results/poses/MAPK1_r11_cid4240159_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r11_cid4240159.log
MAPK1,MAPK1_r30_cid3715176,-7.734,scripts/docking_top30/results/poses/MAPK1_r30_cid3715176_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r30_cid3715176.log
MAPK1,MAPK1_r09_cid4239983,-7.669,scripts/docking_top30/results/poses/MAPK1_r09_cid4239983_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r09_cid4239983.log
MAPK1,MAPK1_r29_cid7976150,-7.652,scripts/docking_top30/results/poses/MAPK1_r29_cid7976150_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r29_cid7976150.log
MAPK1,MAPK1_r28_cid852945,-7.542,scripts/docking_top30/results/poses/MAPK1_r28_cid852945_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r28_cid852945.log
MAPK1,MAPK1_r16_cid7972034,-7.496,scripts/docking_top30/results/poses/MAPK1_r16_cid7972034_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r16_cid7972034.log
MAPK1,MAPK1_r03_cid862804,-7.233,scripts/docking_top30/results/poses/MAPK1_r03_cid862804_vina_out.pdbqt,scripts/docking_top30/results/logs/MAPK1_r03_cid862804.log
