target,scaffold,active_count,rank
MAPK1,c1ccc(CNc2ncnc3ccc(-c4ccccc4)cc23)cc1,7,1.0
MAPK1,c1ccc(CNc2cc(-c3ccccc3)ncn2)cc1,4,2.0
MAPK1,O=C1CC(c2ccccc2)C=CN1,3,3.0
MAPK1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.0
MAPK1,O=C(CCc1nc(-c2ccccc2)no1)Nc1ccccc1,2,5.0
MAPK1,O=C(CNS(=O)(=O)c1cccs1)Nc1nc2ccccc2s1,2,6.0
MAPK1,O=C(CSc1nc2cccnc2[nH]1)Nc1ccccc1,2,7.0
MAPK1,O=C(Nc1ccccc1)c1cccc(S(=O)(=O)N2CCOCC2)c1,2,8.0
MAPK1,O=C(Nc1ccccc1)c1ccccc1,2,9.0
MAPK1,O=C1CC(c2ccccc2)Cc2[nH]ccc21,2,10.0
MAPK1,O=C1CCOC2CCC3CCCCC3C12,2,11.0
MAPK1,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,2,12.0
MAPK1,c1ccc(-c2ccc3ncnc(NCc4cnccn4)c3c2)cc1,2,13.0
MAPK1,c1ccc(C2=Nn3c(nnc3-c3ccccc3)SC2)cc1,2,14.0
MAPK1,c1ccc(CNc2cnc(-c3ccccc3)o2)cc1,2,15.0
MAPK1,c1ccc(CNc2ncnc3ccc(-c4cccnc4)cc23)cc1,2,16.0
MAPK1,c1ccc(Oc2ccccc2)cc1,2,17.0
MAPK1,C(=C1CCC[NH2+]1)c1ccc2ccccc2n1,1,18.0
MAPK1,C(=Cc1ccc(N2CCCCCC2)o1)c1ccccc1,1,19.0
MAPK1,C(=Cc1ccccc1)C[NH+]1CCN(c2ccccc2)CC1,1,20.0
MAPK1,C(=Cc1ccccc1)Sc1ccccc1,1,21.0
MAPK1,C(=Nc1c(-c2ccccc2)nc2n1CCS2)c1ccccc1,1,22.0
MAPK1,C(=Nn1cnnc1)c1ccn(-c2ccc3ncccc3c2)c1,1,23.0
MAPK1,C(C=CSc1ccccc1)=CSc1ccccc1,1,24.0
MAPK1,C1=C2C(=Nc3ccccc3SC2c2ccc3c(c2)OCO3)CO1,1,25.0
MAPK1,C1=CC(C2CCCCC2)c2ccccc2O1,1,26.0
MAPK1,C1=CC(c2ccccc2)c2c(-c3ccccc3)n[nH]c2O1,1,27.0
MAPK1,C1=CC(c2cccnc2)c2c(n[nH]c2-c2ccccc2)O1,1,28.0
MAPK1,C1=COc2[nH]nc(-c3cccs3)c2C1,1,29.0
MAPK1,C=C1C=NC2=C(C(=O)c3ccccc32)C1c1ccc(-c2ccccc2)o1,1,30.0
MAPK1,N=C1C(=C2C(=O)Nc3ccccc32)Nc2ccccc21,1,31.0
MAPK1,N=c1[nH]c2ccccc2n1CCCOc1ccccc1,1,32.0
MAPK1,O=C(C(Cc1ccccc1)n1cccc1)N1CCN(c2ccccc2)CC1,1,33.0
MAPK1,O=C(C1C(c2ccccc2)c2ccccc2N1S(=O)(=O)c1ccccc1)N1CCCC1,1,34.0
MAPK1,O=C(C1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1)N1CCN(c2ncccn2)CC1,1,35.0
MAPK1,O=C(C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1)N1CC=C(c2ccccc2)CC1,1,36.0
MAPK1,O=C(C=Cc1ccccc1)c1ccccc1,1,37.0
MAPK1,O=C(C=Cc1ccccc1)c1cccs1,1,38.0
MAPK1,O=C(CCCNS(=O)(=O)c1ccccc1)N1CCN(c2ccccn2)CC1,1,39.0
MAPK1,O=C(CCSc1nncs1)Nc1nc(-c2ccccc2)ns1,1,40.0
MAPK1,O=C(CCc1ccccc1)Nc1cccc(-c2nnc(-c3ccco3)o2)c1,1,41.0
MAPK1,O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSc1ccccc1,1,42.0
MAPK1,O=C(COc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1)N1CC[NH+](Cc2ccccc2)CC1,1,43.0
MAPK1,O=C(COc1ccccc1)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,1,44.0
MAPK1,O=C(COc1ccccc1)Nc1nc(-c2cccs2)cs1,1,45.0
