target,docking_id,ligand_atoms_model1,contact_residues_4p5A,min_contact_distance,polar_hbond_like_residues,hydrophobic_residues,aromatic_contact_residues,halogen_polar_contact_residues,consensus_rank,best_vina_score_kcal_mol,ensemble_calibrated_mean,admet_support_score,final_consensus_score
MAPK1,MAPK1_r02_cid4247709,28,19,2.1811432781915077,5,1,1,3,1,-9.073,0.0651282057739221,0.7643786375428796,0.9794410978704746
MAPK1,MAPK1_r01_cid861731,27,19,2.0499926829137767,2,4,0,0,2,-8.926,0.0651282057739221,0.6404463818351751,0.7279043877311703
MAPK1,MAPK1_r05_cid4238114,23,22,1.94796021519948,2,7,1,0,3,-8.947,0.0651282057739221,0.5994035238243891,0.5903961360451031
MAPK1,MAPK1_r04_cid849019,19,15,2.031435699203893,2,5,0,0,4,-6.833,0.0635340263162994,0.7443924181987602,0.5067759485018645
MAPK1,MAPK1_r08_cid849356,20,18,2.1772399959581814,3,4,0,0,5,-7.109,0.0623809530266693,0.7721126375809594,0.407140421810525
MAPK1,MAPK1_r06_cid4239535,21,16,2.0771877623363775,4,6,0,0,6,-8.499,0.0623809530266693,0.6793624727165365,0.3016797256894442
MAPK1,MAPK1_r07_cid863449,28,24,1.8276687336604491,4,5,1,0,7,-7.382,0.0623809530266693,0.6708480555400158,0.2232520498226661
MAPK1,MAPK1_r03_cid862804,26,17,1.9123830683207836,4,6,0,0,8,-7.032,0.0623809530266693,0.660479249352528,0.1912040805201081
PKM2,PKM2_r01_cid7966421,24,15,2.6798294721866154,1,6,3,0,1,-9.529,0.8336433887481689,0.7457482297413494,0.7879834782521721
PKM2,PKM2_r02_cid24787185,22,14,1.797667655602672,3,5,3,0,2,-9.512,0.7681818127632141,0.732710208742533,0.7583580983792204
PKM2,PKM2_r03_cid49735565,27,17,2.188443053862723,2,5,4,1,3,-10.29,0.7681818127632141,0.7020251650392316,0.7337355389902057
PKM2,PKM2_r04_cid4245024,27,20,1.9008911068233274,3,5,5,0,4,-10.36,0.5324675270489284,0.6496788775128304,0.5152253762269824
PKM2,PKM2_r05_cid47200821,23,20,2.1626985457987415,3,9,5,0,5,-9.565,0.2111111119389534,0.8051959828178237,0.494693152514986
PKM2,PKM2_r06_cid24837285,23,19,1.9925674392602122,3,7,5,0,6,-9.217,0.2111111119389534,0.7613661969072557,0.3544902290386971
PKM2,PKM2_r08_cid4258657,21,14,2.1745806492287203,2,6,3,0,7,-8.278,0.2063829809427261,0.8009687639871224,0.2756951733327202
PKM2,PKM2_r07_cid49725559,18,13,2.394781827223519,3,7,4,0,8,-7.967,0.370817220211029,0.7050621909598187,0.2601664284286171
